Date,Tank,CO2,Light,Treatment,Temperature,Salinity
12/8/14,tank07,ACO2,HL,HL-AC,25.61,NA
12/8/14,tank08,ACO2,HL,HL-AC,26.06,NA
12/8/14,tank09,ACO2,HL,HL-AC,25.97,NA
12/8/14,tank10,HCO2,HL,HL-HC,26.01,NA
12/8/14,tank11,HCO2,HL,HL-HC,25.54,NA
12/8/14,tank12,HCO2,HL,HL-HC,26.69,NA
12/8/14,tank13,ACO2,HL,HL-AC,26.25,33.7
12/8/14,tank14,ACO2,HL,HL-AC,25.28,33.6
12/8/14,tank15,ACO2,HL,HL-AC,25.73,34.1
12/8/14,tank17,HCO2,HL,HL-HC,25.76,NA
12/8/14,tank19,ACO2,LL,LL-AC,25.89,NA
12/8/14,tank20,ACO2,LL,LL-AC,26.17,NA
12/8/14,tank21,ACO2,LL,LL-AC,25.85,NA
12/8/14,tank22,HCO2,LL,LL-HC,25.97,NA
12/8/14,tank23,HCO2,LL,LL-HC,25.73,NA
12/8/14,tank24,HCO2,LL,LL-HC,26.13,NA
12/11/14,tank01,ACO2,LL,LL-AC,25.34,33.9
12/11/14,tank02,ACO2,LL,LL-AC,25.63,33.7
12/11/14,tank03,ACO2,LL,LL-AC,26.01,34
12/11/14,tank04,HCO2,LL,LL-HC,26.34,33.7
12/11/14,tank05,HCO2,LL,LL-HC,26.62,33.7
12/11/14,tank06,HCO2,LL,LL-HC,25.88,33.6
12/11/14,tank07,ACO2,HL,HL-AC,26.02,34.1
12/11/14,tank08,ACO2,HL,HL-AC,25.79,34
12/11/14,tank09,ACO2,HL,HL-AC,25.92,33.9
12/11/14,tank10,HCO2,HL,HL-HC,26.08,33.6
12/11/14,tank11,HCO2,HL,HL-HC,25.63,34.1
12/11/14,tank12,HCO2,HL,HL-HC,25.97,34.1
12/11/14,tank13,ACO2,HL,HL-AC,26.28,34.2
12/11/14,tank14,ACO2,HL,HL-AC,25.4,33.9
12/11/14,tank15,ACO2,HL,HL-AC,25.57,33.9
12/11/14,tank17,HCO2,HL,HL-HC,24.99,33.9
12/11/14,tank19,ACO2,LL,LL-AC,26.04,34.2
12/11/14,tank20,ACO2,LL,LL-AC,25.95,34.2
12/11/14,tank21,ACO2,LL,LL-AC,25.89,34.1
12/11/14,tank22,HCO2,LL,LL-HC,26.64,34.2
12/11/14,tank23,HCO2,LL,LL-HC,25.86,34.1
12/11/14,tank24,HCO2,LL,LL-HC,25.55,34
12/12/14,tank01,ACO2,LL,LL-AC,25.46,34.4
12/12/14,tank02,ACO2,LL,LL-AC,25.72,34.3
12/12/14,tank03,ACO2,LL,LL-AC,26.06,34.3
12/12/14,tank04,HCO2,LL,LL-HC,26.03,34.4
12/12/14,tank05,HCO2,LL,LL-HC,27.13,34.4
12/12/14,tank06,HCO2,LL,LL-HC,25.91,34.4
12/12/14,tank07,ACO2,HL,HL-AC,25.74,34.3
12/12/14,tank08,ACO2,HL,HL-AC,25.6,34.4
12/12/14,tank09,ACO2,HL,HL-AC,25.99,34.4
12/12/14,tank10,HCO2,HL,HL-HC,25.76,34.3
12/12/14,tank11,HCO2,HL,HL-HC,25.76,34.3
12/12/14,tank12,HCO2,HL,HL-HC,25.78,34.3
12/12/14,tank13,ACO2,HL,HL-AC,25.83,34.4
12/12/14,tank14,ACO2,HL,HL-AC,25.32,34.4
12/12/14,tank15,ACO2,HL,HL-AC,25.46,34.3
12/12/14,tank17,HCO2,HL,HL-HC,25.05,34.2
12/12/14,tank19,ACO2,LL,LL-AC,25.98,34.4
12/12/14,tank20,ACO2,LL,LL-AC,25.67,34.4
12/12/14,tank21,ACO2,LL,LL-AC,26.12,34.2
12/12/14,tank22,HCO2,LL,LL-HC,25.11,34.1
12/12/14,tank23,HCO2,LL,LL-HC,25.85,34.3
12/12/14,tank24,HCO2,LL,LL-HC,25.51,34.2
12/15/14,tank01,ACO2,LL,LL-AC,24.59,34.2
12/15/14,tank02,ACO2,LL,LL-AC,24.78,34.3
12/15/14,tank03,ACO2,LL,LL-AC,25.99,34.3
12/15/14,tank04,HCO2,LL,LL-HC,25.67,34.4
12/15/14,tank05,HCO2,LL,LL-HC,24.93,34.3
12/15/14,tank06,HCO2,LL,LL-HC,25.32,34.4
12/15/14,tank07,ACO2,HL,HL-AC,26.25,34.3
12/15/14,tank08,ACO2,HL,HL-AC,25.35,34.4
12/15/14,tank09,ACO2,HL,HL-AC,25.5,34.3
12/15/14,tank10,HCO2,HL,HL-HC,24.85,34.3
12/15/14,tank11,HCO2,HL,HL-HC,25.88,34.1
12/15/14,tank12,HCO2,HL,HL-HC,25.89,34.3
12/15/14,tank13,ACO2,HL,HL-AC,24.91,34.4
12/15/14,tank14,ACO2,HL,HL-AC,25.45,34.3
12/15/14,tank15,ACO2,HL,HL-AC,25.1,34.3
12/15/14,tank17,HCO2,HL,HL-HC,26.02,34.5
12/15/14,tank19,ACO2,LL,LL-AC,25.42,34.2
12/15/14,tank20,ACO2,LL,LL-AC,25.88,34.4
12/15/14,tank21,ACO2,LL,LL-AC,25.96,34.4
12/15/14,tank22,HCO2,LL,LL-HC,25.05,34.3
12/15/14,tank23,HCO2,LL,LL-HC,25.56,34.4
12/15/14,tank24,HCO2,LL,LL-HC,24.86,34.4
12/16/14,tank01,ACO2,LL,LL-AC,25.92,34.5
12/16/14,tank02,ACO2,LL,LL-AC,26.35,34.5
12/16/14,tank03,ACO2,LL,LL-AC,25.98,34.5
12/16/14,tank04,HCO2,LL,LL-HC,25.15,34.5
12/16/14,tank05,HCO2,LL,LL-HC,25.92,34.3
12/16/14,tank06,HCO2,LL,LL-HC,26.37,34.5
12/16/14,tank07,ACO2,HL,HL-AC,25.2,34.5
12/16/14,tank08,ACO2,HL,HL-AC,24.61,34.5
12/16/14,tank09,ACO2,HL,HL-AC,24.92,34.5
12/16/14,tank10,HCO2,HL,HL-HC,24.85,34.5
12/16/14,tank11,HCO2,HL,HL-HC,25.82,34.5
12/16/14,tank12,HCO2,HL,HL-HC,25.4,34.5
12/16/14,tank13,ACO2,HL,HL-AC,25.45,34.4
12/16/14,tank14,ACO2,HL,HL-AC,25.42,34.5
12/16/14,tank15,ACO2,HL,HL-AC,25.16,34.5
12/16/14,tank17,HCO2,HL,HL-HC,24.59,34.5
12/16/14,tank19,ACO2,LL,LL-AC,24.82,34.5
12/16/14,tank20,ACO2,LL,LL-AC,25.03,34.5
12/16/14,tank21,ACO2,LL,LL-AC,25.26,34.4
12/16/14,tank22,HCO2,LL,LL-HC,23.96,34.4
12/16/14,tank23,HCO2,LL,LL-HC,24.84,34.4
12/16/14,tank24,HCO2,LL,LL-HC,24.82,34.4
12/16/14,tank01,ACO2,LL,LL-AC,25.99,NA
12/16/14,tank02,ACO2,LL,LL-AC,26.06,NA
12/16/14,tank03,ACO2,LL,LL-AC,26.09,NA
12/16/14,tank04,HCO2,LL,LL-HC,24.23,NA
12/16/14,tank05,HCO2,LL,LL-HC,24.27,NA
12/16/14,tank06,HCO2,LL,LL-HC,24.72,NA
12/16/14,tank07,ACO2,HL,HL-AC,25.24,NA
12/16/14,tank08,ACO2,HL,HL-AC,24.66,NA
12/16/14,tank09,ACO2,HL,HL-AC,24.89,NA
12/16/14,tank10,HCO2,HL,HL-HC,25.04,NA
12/16/14,tank11,HCO2,HL,HL-HC,25.81,NA
12/16/14,tank12,HCO2,HL,HL-HC,25.53,NA
12/16/14,tank13,ACO2,HL,HL-AC,25.35,NA
12/16/14,tank14,ACO2,HL,HL-AC,25.31,NA
12/16/14,tank15,ACO2,HL,HL-AC,25.26,NA
12/16/14,tank17,HCO2,HL,HL-HC,24.92,NA
12/16/14,tank19,ACO2,LL,LL-AC,24.99,NA
12/16/14,tank20,ACO2,LL,LL-AC,25.63,NA
12/16/14,tank21,ACO2,LL,LL-AC,25.61,NA
12/16/14,tank22,HCO2,LL,LL-HC,24.19,NA
12/16/14,tank23,HCO2,LL,LL-HC,24.9,NA
12/16/14,tank24,HCO2,LL,LL-HC,25,NA
12/17/14,tank01,ACO2,LL,LL-AC,25.47,NA
12/17/14,tank02,ACO2,LL,LL-AC,25.64,NA
12/17/14,tank03,ACO2,LL,LL-AC,25.93,NA
12/17/14,tank04,HCO2,LL,LL-HC,25.44,NA
12/17/14,tank05,HCO2,LL,LL-HC,24.83,NA
12/17/14,tank06,HCO2,LL,LL-HC,25.75,NA
12/17/14,tank07,ACO2,HL,HL-AC,25.26,NA
12/17/14,tank08,ACO2,HL,HL-AC,24.9,NA
12/17/14,tank09,ACO2,HL,HL-AC,24.88,NA
12/17/14,tank10,HCO2,HL,HL-HC,25.41,NA
12/17/14,tank11,HCO2,HL,HL-HC,25.61,NA
12/17/14,tank12,HCO2,HL,HL-HC,25.6,NA
12/17/14,tank13,ACO2,HL,HL-AC,25.34,NA
12/17/14,tank14,ACO2,HL,HL-AC,24.88,NA
12/17/14,tank15,ACO2,HL,HL-AC,24.82,NA
12/17/14,tank17,HCO2,HL,HL-HC,24.14,NA
12/17/14,tank19,ACO2,LL,LL-AC,24.79,NA
12/17/14,tank20,ACO2,LL,LL-AC,25.23,NA
12/17/14,tank21,ACO2,LL,LL-AC,25.45,NA
12/17/14,tank22,HCO2,LL,LL-HC,24.11,NA
12/17/14,tank23,HCO2,LL,LL-HC,25.04,NA
12/17/14,tank24,HCO2,LL,LL-HC,24.98,NA
12/17/14,tank01,ACO2,LL,LL-AC,23.64,NA
12/17/14,tank02,ACO2,LL,LL-AC,24.58,NA
12/17/14,tank03,ACO2,LL,LL-AC,25.74,NA
12/17/14,tank04,HCO2,LL,LL-HC,24.25,NA
12/17/14,tank05,HCO2,LL,LL-HC,24.38,NA
12/17/14,tank06,HCO2,LL,LL-HC,25.76,NA
12/17/14,tank07,ACO2,HL,HL-AC,25.21,NA
12/17/14,tank08,ACO2,HL,HL-AC,24.75,NA
12/17/14,tank09,ACO2,HL,HL-AC,24.91,NA
12/17/14,tank10,HCO2,HL,HL-HC,24.78,NA
12/17/14,tank11,HCO2,HL,HL-HC,25.72,NA
12/17/14,tank12,HCO2,HL,HL-HC,24.86,NA
12/17/14,tank13,ACO2,HL,HL-AC,24.84,NA
12/17/14,tank14,ACO2,HL,HL-AC,24.48,NA
12/17/14,tank15,ACO2,HL,HL-AC,24.33,NA
12/17/14,tank17,HCO2,HL,HL-HC,23.99,NA
12/17/14,tank19,ACO2,LL,LL-AC,24.78,NA
12/17/14,tank20,ACO2,LL,LL-AC,25.28,NA
12/17/14,tank21,ACO2,LL,LL-AC,25.67,NA
12/17/14,tank22,HCO2,LL,LL-HC,24.23,NA
12/17/14,tank23,HCO2,LL,LL-HC,25.06,NA
12/17/14,tank24,HCO2,LL,LL-HC,25.24,NA
12/18/14,tank01,ACO2,LL,LL-AC,24,34.7
12/18/14,tank02,ACO2,LL,LL-AC,25.3,33.8
12/18/14,tank03,ACO2,LL,LL-AC,26.2,34.8
12/18/14,tank04,HCO2,LL,LL-HC,24.31,34.8
12/18/14,tank05,HCO2,LL,LL-HC,24.36,33.6
12/18/14,tank06,HCO2,LL,LL-HC,26.16,34.8
12/18/14,tank07,ACO2,HL,HL-AC,25.29,34.7
12/18/14,tank08,ACO2,HL,HL-AC,25.35,34.8
12/18/14,tank09,ACO2,HL,HL-AC,25.03,34.8
12/18/14,tank10,HCO2,HL,HL-HC,24.62,34.7
12/18/14,tank11,HCO2,HL,HL-HC,24.97,34.7
12/18/14,tank12,HCO2,HL,HL-HC,24.63,33.5
12/18/14,tank13,ACO2,HL,HL-AC,24.93,33.5
12/18/14,tank14,ACO2,HL,HL-AC,24.54,34.6
12/18/14,tank15,ACO2,HL,HL-AC,24.25,34.4
12/18/14,tank17,HCO2,HL,HL-HC,23.92,34.6
12/18/14,tank19,ACO2,LL,LL-AC,25.18,34.8
12/18/14,tank20,ACO2,LL,LL-AC,25.73,34.7
12/18/14,tank21,ACO2,LL,LL-AC,24.3,34.6
12/18/14,tank22,HCO2,LL,LL-HC,23.88,34.6
12/18/14,tank23,HCO2,LL,LL-HC,25.16,34.7
12/18/14,tank24,HCO2,LL,LL-HC,25.06,34.7
12/18/14,tank01,ACO2,LL,LL-AC,24.2,NA
12/18/14,tank02,ACO2,LL,LL-AC,24.83,NA
12/18/14,tank03,ACO2,LL,LL-AC,25.81,NA
12/18/14,tank04,HCO2,LL,LL-HC,24.78,NA
12/18/14,tank05,HCO2,LL,LL-HC,24.72,NA
12/18/14,tank06,HCO2,LL,LL-HC,25.74,NA
12/18/14,tank07,ACO2,HL,HL-AC,25.78,NA
12/18/14,tank08,ACO2,HL,HL-AC,24.37,NA
12/18/14,tank09,ACO2,HL,HL-AC,24.69,NA
12/18/14,tank10,HCO2,HL,HL-HC,24.66,NA
12/18/14,tank11,HCO2,HL,HL-HC,25.11,NA
12/18/14,tank12,HCO2,HL,HL-HC,24.77,NA
12/18/14,tank13,ACO2,HL,HL-AC,24.82,NA
12/18/14,tank14,ACO2,HL,HL-AC,24.5,NA
12/18/14,tank15,ACO2,HL,HL-AC,24.35,NA
12/18/14,tank17,HCO2,HL,HL-HC,24.43,NA
12/18/14,tank19,ACO2,LL,LL-AC,24.86,NA
12/18/14,tank20,ACO2,LL,LL-AC,25.29,NA
12/18/14,tank21,ACO2,LL,LL-AC,24.81,NA
12/18/14,tank22,HCO2,LL,LL-HC,25.4,NA
12/18/14,tank23,HCO2,LL,LL-HC,25.33,NA
12/18/14,tank24,HCO2,LL,LL-HC,25.22,NA
12/21/14,tank01,ACO2,LL,LL-AC,25.56,NA
12/21/14,tank02,ACO2,LL,LL-AC,26.32,NA
12/21/14,tank03,ACO2,LL,LL-AC,27.05,NA
12/21/14,tank04,HCO2,LL,LL-HC,25.8,NA
12/21/14,tank05,HCO2,LL,LL-HC,25.81,NA
12/21/14,tank06,HCO2,LL,LL-HC,26.58,NA
12/21/14,tank07,ACO2,HL,HL-AC,26.45,NA
12/21/14,tank08,ACO2,HL,HL-AC,25.77,NA
12/21/14,tank09,ACO2,HL,HL-AC,26.93,NA
12/21/14,tank10,HCO2,HL,HL-HC,26.09,NA
12/21/14,tank11,HCO2,HL,HL-HC,26.35,NA
12/21/14,tank12,HCO2,HL,HL-HC,26.08,NA
12/21/14,tank13,ACO2,HL,HL-AC,26.4,NA
12/21/14,tank14,ACO2,HL,HL-AC,25.81,NA
12/21/14,tank15,ACO2,HL,HL-AC,25.76,NA
12/21/14,tank17,HCO2,HL,HL-HC,25.88,NA
12/21/14,tank19,ACO2,LL,LL-AC,26.57,NA
12/21/14,tank20,ACO2,LL,LL-AC,26.68,NA
12/21/14,tank21,ACO2,LL,LL-AC,26.33,NA
12/21/14,tank22,HCO2,LL,LL-HC,25.7,NA
12/21/14,tank23,HCO2,LL,LL-HC,26.6,NA
12/21/14,tank24,HCO2,LL,LL-HC,26.99,NA
12/22/14,tank01,ACO2,LL,LL-AC,24.43,34.8
12/22/14,tank02,ACO2,LL,LL-AC,25.01,35
12/22/14,tank03,ACO2,LL,LL-AC,24.83,33.9
12/22/14,tank04,HCO2,LL,LL-HC,24.2,34.5
12/22/14,tank05,HCO2,LL,LL-HC,24.82,33.8
12/22/14,tank06,HCO2,LL,LL-HC,25.49,33.9
12/22/14,tank07,ACO2,HL,HL-AC,24.83,34.4
12/22/14,tank08,ACO2,HL,HL-AC,25.72,34
12/22/14,tank09,ACO2,HL,HL-AC,25.3,34.2
12/22/14,tank10,HCO2,HL,HL-HC,25.16,34
12/22/14,tank11,HCO2,HL,HL-HC,25.36,33.9
12/22/14,tank12,HCO2,HL,HL-HC,25.11,34.8
12/22/14,tank13,ACO2,HL,HL-AC,25.6,34.7
12/22/14,tank14,ACO2,HL,HL-AC,24.86,34.6
12/22/14,tank15,ACO2,HL,HL-AC,24.7,34.7
12/22/14,tank17,HCO2,HL,HL-HC,24.52,34
12/22/14,tank19,ACO2,LL,LL-AC,25.13,34.7
12/22/14,tank20,ACO2,LL,LL-AC,25.19,34.3
12/22/14,tank21,ACO2,LL,LL-AC,25.07,34.3
12/22/14,tank22,HCO2,LL,LL-HC,24.55,33.5
12/22/14,tank23,HCO2,LL,LL-HC,24.81,34.3
12/22/14,tank24,HCO2,LL,LL-HC,25.28,33.5
12/23/14,tank01,ACO2,LL,LL-AC,23.751,NA
12/23/14,tank02,ACO2,LL,LL-AC,24.319,NA
12/23/14,tank03,ACO2,LL,LL-AC,24.706,NA
12/23/14,tank04,HCO2,LL,LL-HC,24.065,NA
12/23/14,tank05,HCO2,LL,LL-HC,24.158,NA
12/23/14,tank06,HCO2,LL,LL-HC,25.339,NA
12/23/14,tank07,ACO2,HL,HL-AC,25.13,NA
12/23/14,tank08,ACO2,HL,HL-AC,24.838,NA
12/23/14,tank09,ACO2,HL,HL-AC,24.756,NA
12/23/14,tank10,HCO2,HL,HL-HC,24.444,NA
12/23/14,tank11,HCO2,HL,HL-HC,24.777,NA
12/23/14,tank12,HCO2,HL,HL-HC,24.657,NA
12/23/14,tank13,ACO2,HL,HL-AC,,NA
12/23/14,tank14,ACO2,HL,HL-AC,24.35,NA
12/23/14,tank15,ACO2,HL,HL-AC,24.036,NA
12/23/14,tank17,HCO2,HL,HL-HC,23.714,NA
12/23/14,tank19,ACO2,LL,LL-AC,24.42,NA
12/23/14,tank20,ACO2,LL,LL-AC,24.741,NA
12/23/14,tank21,ACO2,LL,LL-AC,24.178,NA
12/23/14,tank22,HCO2,LL,LL-HC,23.874,NA
12/23/14,tank23,HCO2,LL,LL-HC,23.861,NA
12/23/14,tank24,HCO2,LL,LL-HC,24.98,NA
12/24/14,tank01,ACO2,LL,LL-AC,24.093,NA
12/24/14,tank02,ACO2,LL,LL-AC,24.382,NA
12/24/14,tank03,ACO2,LL,LL-AC,24.65,NA
12/24/14,tank04,HCO2,LL,LL-HC,24.357,NA
12/24/14,tank05,HCO2,LL,LL-HC,24.269,NA
12/24/14,tank06,HCO2,LL,LL-HC,25.576,NA
12/24/14,tank07,ACO2,HL,HL-AC,25.095,NA
12/24/14,tank08,ACO2,HL,HL-AC,24.826,NA
12/24/14,tank09,ACO2,HL,HL-AC,24.641,NA
12/24/14,tank10,HCO2,HL,HL-HC,24.987,NA
12/24/14,tank11,HCO2,HL,HL-HC,24.829,NA
12/24/14,tank12,HCO2,HL,HL-HC,25.082,NA
12/24/14,tank13,ACO2,HL,HL-AC,23.161,NA
12/24/14,tank14,ACO2,HL,HL-AC,24.301,NA
12/24/14,tank15,ACO2,HL,HL-AC,24.719,NA
12/24/14,tank17,HCO2,HL,HL-HC,23.928,NA
12/24/14,tank19,ACO2,LL,LL-AC,25.264,NA
12/24/14,tank20,ACO2,LL,LL-AC,24.825,NA
12/24/14,tank21,ACO2,LL,LL-AC,24.424,NA
12/24/14,tank22,HCO2,LL,LL-HC,23.86,NA
12/24/14,tank23,HCO2,LL,LL-HC,24.576,NA
12/24/14,tank24,HCO2,LL,LL-HC,24.915,NA
12/26/14,tank01,ACO2,LL,LL-AC,24.915,34.2
12/26/14,tank02,ACO2,LL,LL-AC,25.245,34.8
12/26/14,tank03,ACO2,LL,LL-AC,24.799,34.8
12/26/14,tank04,HCO2,LL,LL-HC,25.818,33.8
12/26/14,tank05,HCO2,LL,LL-HC,25.224,34.6
12/26/14,tank06,HCO2,LL,LL-HC,25.808,34.4
12/26/14,tank07,ACO2,HL,HL-AC,24.913,34.5
12/26/14,tank08,ACO2,HL,HL-AC,25.763,34.5
12/26/14,tank09,ACO2,HL,HL-AC,25.47,34.7
12/26/14,tank10,HCO2,HL,HL-HC,25.543,34.8
12/26/14,tank11,HCO2,HL,HL-HC,25.112,34.6
12/26/14,tank12,HCO2,HL,HL-HC,25.078,34.8
12/26/14,tank13,ACO2,HL,HL-AC,24.051,34.7
12/26/14,tank14,ACO2,HL,HL-AC,24.82,34.5
12/26/14,tank15,ACO2,HL,HL-AC,25.538,34.6
12/26/14,tank17,HCO2,HL,HL-HC,24.86,34.6
12/26/14,tank19,ACO2,LL,LL-AC,24.824,34.6
12/26/14,tank20,ACO2,LL,LL-AC,25.378,34.6
12/26/14,tank21,ACO2,LL,LL-AC,25.375,34.6
12/26/14,tank22,HCO2,LL,LL-HC,24.948,34.7
12/26/14,tank23,HCO2,LL,LL-HC,25.303,34.7
12/26/14,tank24,HCO2,LL,LL-HC,25.867,34.3
12/26/14,tank01,ACO2,LL,LL-AC,24.833,NA
12/26/14,tank02,ACO2,LL,LL-AC,25.075,NA
12/26/14,tank03,ACO2,LL,LL-AC,24.64,NA
12/26/14,tank04,HCO2,LL,LL-HC,24.729,NA
12/26/14,tank05,HCO2,LL,LL-HC,25.195,NA
12/26/14,tank06,HCO2,LL,LL-HC,25.233,NA
12/26/14,tank07,ACO2,HL,HL-AC,24.855,NA
12/26/14,tank08,ACO2,HL,HL-AC,25.566,NA
12/26/14,tank09,ACO2,HL,HL-AC,25.345,NA
12/26/14,tank10,HCO2,HL,HL-HC,25.084,NA
12/26/14,tank11,HCO2,HL,HL-HC,24.89,NA
12/26/14,tank12,HCO2,HL,HL-HC,25.06,NA
12/26/14,tank13,ACO2,HL,HL-AC,23.89,NA
12/26/14,tank14,ACO2,HL,HL-AC,24.89,NA
12/26/14,tank15,ACO2,HL,HL-AC,25.267,NA
12/26/14,tank17,HCO2,HL,HL-HC,24.766,NA
12/26/14,tank19,ACO2,LL,LL-AC,24.991,NA
12/26/14,tank20,ACO2,LL,LL-AC,25.339,NA
12/26/14,tank21,ACO2,LL,LL-AC,25.486,NA
12/26/14,tank22,HCO2,LL,LL-HC,24.855,NA
12/26/14,tank23,HCO2,LL,LL-HC,25.263,NA
12/26/14,tank24,HCO2,LL,LL-HC,26.185,NA
12/30/14,tank01,ACO2,LL,LL-AC,23.788,34.1
12/30/14,tank02,ACO2,LL,LL-AC,24.647,34.2
12/30/14,tank03,ACO2,LL,LL-AC,24.854,34.6
12/30/14,tank04,HCO2,LL,LL-HC,23.872,34
12/30/14,tank05,HCO2,LL,LL-HC,24.436,34.6
12/30/14,tank06,HCO2,LL,LL-HC,24.513,34.5
