breed,color,bite_location
yorkshire terrier,blk-brn,body
pit bull,blk-brn,body
shih tzu,fawn,body
pit bull,fawn,body
rottweiler,NA,body
cocker spainel,tan-wht,body
westie,white,head
shih tzu,gray,body
shih tzu,tan,body
gold retriever,golden,body
labrador retriv,blk,body
pit bull,blue-wht,body
shih tzu,tan-white,head
beagle,black,body
pit bull,blue,body
bullmastiff,brown,body
labrador retriv,blk-wht,head
pomeranian,white,body
germ shepherd,blk-tan,body
labrador retriv,black,body
chichauhua,blk-brn,body
pit bull,brn-wht,body
sheltie,tri,body
am bulldog,NA,body
pit bull,NA,body
pit bull,brown/wht,body
labrador retriv,black,head
pit bull,NA,body
weimaraner,gray,body
gold retriever,red golden,body
other,tri color,NA
pit bull,brown/wht,body
dotson,brown,head
pit bull,NA,body
labrador retriv,NA,NA
poodle,NA,NA
pit bull,brindle,body
pit bull,blk/wht,unknown
bouvier,NA,head
pit bull,brn/wht,body
pit bull,NA,body
dachshund,NA,body
pit bull,brown/whte,body
pit bull,NA,body
am bulldog,NA,head
labrador retriv,chocolate,head
cocker spainel,NA,head
gold retriever,NA,body
bernesen mt.,NA,unknown
bernesen mt.,NA,body
bernesen mt.,NA,body
boxer,black,body
boxer,NA,NA
pit bull,brn/wht,body
pit bull,brn/wht,body
pit bull,wht/blue,body
pit bull,wht/bwn,body
yorkshire terrier,tan/tricol,body
pit bull,black,body
boxer,tan/wht,head
boxer,white,body
chichauhua,tan/wht,body
pit bull,brown,NA
pit bull,NA,body
schnauzer,blk/wht,head
maltase,white,head
pit bull,white/red,body
pit bull,blk/white,body
labrador retriv,black,body
germ shepherd,NA,body
basset hound,wht/brn/bl,head
shih tzu,wht/gray,body
akita,blk/wht,body
pit bull,wht/bwn,body
aaust. terr.,white,head
gold retriever,golden,body
rat terrier,blk/wht,head
germ shepherd,blk/tan,head
boxer,NA,body
akita,brn/wht,NA
pit bull,brown,body
pit bull,NA,body
germ shepherd,black,body
chichauhua,tricolor,body
border collie,blk/wht,body
germ shepherd,brn/blk,body
great dane,brown,body
westie,white,head
boxer,red,body
weimaraner,grey,NA
boxer,brindle,body
pit bull,blk/brn,body
boxer,brn/blk,body
germ shepherd,brn/blk,body
schnauzer,black/wht,head
basset hound,wht w/ blk,body
labrador retriv,yellow,head
dachshund,NA,body
great dane,NA,head
sheep dog,NA,body
germ shepherd,black,body
pit bull,wht/brn,head
great dane,black,NA
boston terrier,blk/wht,body
chichauhua,blk/wht,NA
pit bull,wht/tan,head
labrador retriv,brown,NA
chichauhua,brown,head
labrador retriv,black,body
border collie,black,head
bullmastiff,gry/brd,head
pomeranian,NA,body
pit bull,brown,body
labrador retriv,black,body
chichauhua,wht,body
labrador retriv,blk,body
dachshund,blk/tan,body
pit bull,br and wht,body
chow chow,red,body
heeler,blue merle,head
min pin,brn/blk,body
westie,white,NA
pekingese,NA,body
pit bull,black,body
pit bull,tan/wht,body
germ shepherd,black,body
pit bull,blue,body
germ shepherd,NA,body
welsh corgi,tan,body
shih tzu,blk/wht,NA
boston terrier,blk/wht,body
rottweiler,NA,head
pit bull,tan,NA
pit bull,wht/brn,head
pit bull,blue/wht,body
pit bull,br/whit,body
pit bull,brn/wht,head
germ shepherd,blk/tan,head
sheltie,NA,NA
pit bull,NA,body
akita,NA,body
gold retriever,NA,NA
pit bull,brown,body
shih tzu,white,body
border collie,black,body
beagle,NA,body
pit bull,NA,body
akita,black,body
beagle,tricolor,body
beagle,tri,NA
gold retriever,NA,body
yorkshire terrier,tan,body
dalmatian,brn/wht,body
dachshund,black,body
fox terrier mix,white,body
beagle,wht/tan,NA
boxer,wht/brn,body
beagle,brown,body
doberman,red,head
aaust. terr.,NA,NA
weimaraner,silver,body
pit bull,blue/whit,unknown
english bulldog,wht/brwn,head
yorkshire terrier,NA,body
gold retriever,yellow,body
boxer,NA,body
dachshund,brown,body
great dane,mulit/brn,NA
pit bull,blue,body
pomeranian,NA,body
boxer,brown,body
dachshund,red,body
pit bull,black,body
boxer,brin/black,head
other,brown whit,body
shar-pei,red,body
boxer,black,body
rat terrier,brn/wht,body
shih tzu,NA,body
boston terrier,blk/wht,head
border collie,blk/wht,NA
pit bull,tan/wht,body
pit bull,blk/wht,unknown
chichauhua,NA,body
germ shepherd,blk/tan,body
border collie m,brn/wht,body
pit bull,NA,body
akita,brn/red,head
shih tzu,brn/whit/b,head
pit bull,black,body
chichauhua,brn/wht,NA
pit bull,brindle,body
pit bull,brindle,body
aaust. terr.,tan/brn,head
yorkshire terrier,NA,body
pit bull,brn/wht,body
border collie,blk/wht,body
chichauhua,brown,head
pit bull,tan/wht,NA
border collie m,black,body
pit bull,blk/wht,body
chow chow,red,body
labrador retriv,NA,body
labrador retriv,NA,body
beagle,brn/wht,body
shih tzu,wht/tan,head
beagle,brn/wht,body
dachshund,NA,body
shih tzu,blk/wht,unknown
germ shepherd,black,body
pit bull,red,body
pit bull,brown,body
beagle,blk/tan,body
pit bull,blk/wht,body
germ shepherd,wht/brown,head
mastif,brown,NA
pit bull,brn/wht,body
border collie,NA,NA
boxer,tan/white,unknown
great dane,NA,head
germ shepherd,wht/brn,body
germ shepherd,tan/gr/blk,body
basanji,brn/wht,body
great dane,brindle,body
chichauhua,wht.brn,body
pit bull,tan/wht,body
pit bull,blk/wht,body
germ shepherd,blk/tan,NA
germ shepherd,blk/tan,body
rottweiler,blk/brn,unknown
boxer,fawn,body
pit bull,NA,head
pit bull,tan,body
boxer,tan/wht,NA
poodle,white,body
gold retriever,tan/wht,head
rottweiler,blk/brn,body
pyrenes,white,NA
germ shepherd,red black,body
germ shepherd,NA,head
great dane,tan/blk,unknown
pit bull,whit/tan,body
labrador retriv,brown,body
pit bull,brn/wht,body
pit bull,brn/wht,body
dachshund,red,unknown
sheltie,NA,body
pit bull,brindle,body
doberman,tan white,unknown
labrador retriv,black,body
blood hound,blk/tan,body
pit bull,NA,unknown
collie,grey,NA
chichauhua,NA,head
saint bernard,NA,unknown
pekingese,NA,NA
pit bull,white,body
aaust. terr.,blue/gray,body
pit bull,NA,NA
rat terrier,brn/wht,unknown
dotson,blk/brn,body
bullmastiff,NA,head
chichauhua,brown,head
pit bull,tan/wht,head
pit bull,tan/silver,body
shih tzu,red,NA
pit bull,NA,body
border collie m,brn,body
cocker spainel,blk/tan,unknown
husky,brn/tan,head
rottweiler,brown,unknown
pit bull,red/wht,NA
labrador retriv,NA,body
english bulldog,wht/blk,unknown
husky,NA,head
labrador retriv,black,head
pit bull,NA,body
labrador retriv,yellow,body
boxer,blk/white,body
beagle,tri,body
chow chow,bl/wh/brow,head
shih tzu,blk/wht,body
chichauhua,NA,head
other,brown,head
pit bull,red/wht,head
pit bull,NA,head
pit bull,NA,body
pomeranian,blk/wht,body
pit bull,NA,unknown
germ shepherd,tan,head
rat terrier,NA,head
akita,gray,head
alask. malamute,NA,NA
britney spaniel,org/wht,head
basset hound,NA,head
border collie m,NA,body
pit bull,NA,body
germ shepherd,black,NA
pit bull,blue,body
pit bull,black,body
chichauhua,black,head
rat terrier,red/wht,head
britney spaniel,NA,body
bichon frese,white,body
germ shepherd,NA,NA
gold retriever,NA,body
pomeranian,brown,body
chichauhua,blk/brn,body
germ shepherd,brn/blk,unknown
sheep dog,blk/brn,body
germ shepherd,tan/blk,body
great dane,NA,body
pit bull,NA,NA
pit bull,NA,body
weimaraner,NA,body
labrador retriv,yello,head
bull dog,NA,body
pit bull,NA,body
pit bull,tan,body
pit bull,fawn/wht,body
labrador retriv,NA,unknown
aaust. terr.,NA,body
bull dog,white,body
pomeranian,blue merle,unknown
pomeranian,white,unknown
border collie m,NA,head
mastif,NA,body
pit bull,NA,head
poodle,black,body
beagle,NA,body
germ shepherd,blk/brn,body
rat terrier,NA,unknown
boxer,NA,head
aaust. terr.,NA,body
pit bull,blk wht,body
pit bull,NA,unknown
germ shepherd,NA,body
pit bull,NA,NA
gold retriever,black,NA
germ shepherd,NA,body
boxer,brown,head
labrador retriv,black,NA
labrador retriv,yellow/brn,body
labrador retriv,black,NA
rottweiler,NA,body
pit bull,NA,NA
dachshund,brn,body
pit bull,NA,body
boxer,NA,unknown
labrador retriv,NA,unknown
pit bull,NA,body
pit bull,NA,body
germ shepherd,NA,NA
poodle,black,body
germ shepherd,NA,NA
pit bull,tan,unknown
pit bull,blue white,unknown
beagle,black tan,body
dotson,NA,body
pit bull,NA,unknown
dachshund,blk/tan,body
pit bull,NA,body
bichon frise,NA,body
rottweiler,NA,NA
aaust. terr.,browm,body
germ shepherd,brown/blac,body
pit bull,NA,body
labrador retriv,NA,head
pit bull,brn wht,body
pit bull,NA,body
chichauhua,brown,body
pit bull,NA,NA
pit bull,blue white,head
aaust. terr.,blk wht,body
maltase,cream,body
other,"blk, brw,",body
english bulldog,blk & wht,body
germ shepherd,tan/blk,body
rat terrier,NA,NA
pit bull,NA,head
doberman,chol/tan,head
germ shepherd,blk/brw,body
germ shepherd,brown,body
border collie,NA,body
pit bull,NA,unknown
germ shepherd,brn blck,body
pit bull,NA,body
border collie m,NA,body
great dane,wht/gry,unknown
pit bull,red,unknown
dachshund,NA,head
germ shepherd,NA,body
blood hound,NA,unknown
labrador retriv,blk,unknown
germ shepherd,NA,body
basset hound,NA,NA
pit bull,NA,body
bull dog,NA,unknown
mastif,NA,body
labrador retriv,tan,unknown
bullmastiff,NA,unknown
pit bull,NA,body
gold retriever,NA,body
rottweiler,NA,body
chichauhua,NA,body
chow chow,red,body
weimaraner,gray,body
pit bull,yello,body
pit bull,blk/wht,body
aaust. terr.,brn/blck,unknown
border collie,NA,NA
akita,brn/blk,body
shih tzu,NA,body
pit bull,NA,body
bichon frese,white,NA
maltase,NA,body
akita,NA,body
germ shepherd,NA,body
germ shepherd,NA,body
yorkshire terrier,brn/blk,unknown
pit bull,NA,body
chichauhua,NA,head
pit bull,blk/white,body
pit bull,red,body
great dane,NA,body
shar-pei,black,body
weimaraner,NA,body
poodle,black,body
poodle,NA,NA
pomeranian,black/whit,body
germ shepherd,NA,NA
pit bull,NA,body
germ shepherd,brn/blk,body
pit bull,blk/wht,body
welsh corgi,NA,body
germ shepherd,NA,body
mastif,NA,head
gold retriever,NA,body
chichauhua,NA,body
pit bull,NA,body
great pyreneese,white,body
pug,NA,body
pit bull,NA,body
pit bull,blk/wht,body
pit bull,NA,body
pit bull,blue,body
shih tzu,NA,body
beagle,NA,head
poodle,NA,body
labrador retriv,brown,unknown
pit bull,NA,body
beagle,tri,body
min pin,NA,body
chichauhua,NA,body
labrador retriv,brow,unknown
fox terrier,NA,head
pit bull,black,NA
schnauzer,grey&white,body
pit bull,blk wht,body
pit bull,blk/wht,body
pit bull,brown,body
pit bull,NA,body
germ shepherd,brown,body
pit bull,blk/wht,body
beagle,NA,body
germ shepherd,NA,body
germ shepherd,NA,body
pit bull,NA,unknown
boxer,NA,unknown
labrador retriv,brown,body
pit bull,NA,body
chow chow,black,body
chichauhua,NA,body
germ shepherd,NA,body
rottweiler,NA,body
pit bull,NA,NA
pit bull,NA,head
germ shepherd,NA,body
amer. bull dog,NA,body
pit bull,red,body
amer. bull dog,NA,head
pomeranian,NA,body
labrador retriv,black,head
rottweiler,brown,body
pit bull,black,unknown
border collie,blk/wht,body
rottweiler,NA,body
pit bull,NA,body
min pin,blk brn,body
aaust. terr.,NA,head
bull dog,NA,unknown
pit bull,fawn/wht,body
beagle,NA,body
labrador retriv,NA,head
chichauhua,NA,unknown
sheltie,NA,body
greyhound,NA,body
husky,NA,head
germ shepherd,NA,body
rottweiler,NA,body
pit bull,NA,unknown
pit bull,brn,body
siberan husky,blk/wht,head
germ shepherd,blk/tan,body
bull dog,NA,body
labrador retriv,chocolate,head
chichauhua,NA,body
beagle,NA,unknown
germ shepherd,blk & tan,body
aaust. terr.,NA,body
pit bull,NA,unknown
shih tzu,NA,unknown
pit bull,NA,head
collie,sable whit,body
shih tzu,blk/wht,unknown
welsh corgi,brn/wht,body
germ shepherd,brown,body
poodle,whit,body
pit bull,fawn,body
pit bull,NA,unknown
pit bull,NA,body
pit bull,gray white,body
english bulldog,brn white,body
pit bull,NA,body
lhasa apso,white,body
pit bull,NA,body
beagle,NA,head
dachshund,NA,head
pit bull,NA,body
germ shepherd,NA,body
yorkshire terrier,brn/blk,body
pit bull,red white,head
pit bull,NA,unknown
labrador retriv,black,body
beagle,NA,head
beagle,rd brn wht,body
doberman,blk,body
collie,NA,body
gold retriever,NA,body
beagle,tricolor,head
labrador retriv,blk white,body
pit bull,tri,body
pit bull,black,body
shih tzu,blk white,body
am bulldog,brn wht,body
labrador retriv,NA,body
dachshund,white/brn,head
britney spaniel,red/wht,head
rat terrier,wht brn,body
pit bull,NA,body
pit bull,blk/wht,NA
poodle,black,NA
boxer,NA,head
pit bull,NA,body
pit bull,brindle,body
border collie,blk/wht,head
pit bull,NA,body
husky,NA,NA
aaust. terr.,NA,body
siberan husky,wht tri,body
boxer,brn/wht,body
labrador retriv,blonde,body
beagle,NA,head
germ shepherd,NA,head
aaust. terr.,NA,NA
yorkshire terrier,tan,NA
pit bull,NA,unknown
corgi,NA,head
havanese,NA,body
germ shepherd,NA,unknown
english bulldog,NA,NA
pekingese,NA,NA
blue heeler,NA,body
shih tzu,white,body
pit bull,NA,NA
shih tzu,NA,body
chichauhua,NA,body
boston terrier,NA,NA
pekingese,blk whit,body
pit bull,blue whte,body
gold retriever,gold,body
akita,NA,unknown
pit bull,blk/wht,body
chichauhua,NA,body
labrador retriv,NA,body
rottweiler,NA,body
labrador retriv,black /wht,head
boxer,brn wht,head
catahoula,brn/wht,body
germ shepherd,NA,body
germ shepherd,NA,body
boxer,brn/whte,body
boxer,tan,body
maltase,NA,body
rottweiler,NA,body
shih tzu,white,head
pekingese,NA,body
pit bull,NA,body
boxer,blk wht,body
pit bull,brn brindl,head
pit bull,brn whit,head
beagle,brown,body
beagle,black,head
pit bull,NA,head
doberman,black,body
border collie m,NA,body
pomeranian,red,body
pomeranian,blonde,unknown
pit bull,red,body
pit bull,gry wht,body
pit bull,blk wht,body
shih tzu,wht blk,head
schnauzer,gry blk,body
great dane,NA,body
pit bull,NA,body
chichauhua,blk wht,body
cocker spainel,NA,unknown
boston terrier,NA,NA
pit bull,blk & gray,body
pit bull,white,body
dachshund,NA,body
germ shepherd,NA,body
border collie,wht/bblk,body
labrador retriv,yellow,body
schnauzer,grey,body
shih tzu,wht blk,body
aaust. terr.,blk whit,body
