OBS,Treatment,Plot,Reserve,Replicate,Plant_species,Ant_resident,Classification_Ant,Height
135,CF,Dimona-CF,Dimona,2,Hm,Ao,Obligate,<1
136,CF,Dimona-CF,Dimona,2,Hm,Ao,Obligate,1.2
137,CF,Dimona-CF,Dimona,2,Cn,Ao,Obligate,<1
138,CF,Dimona-CF,Dimona,2,Ds,Ao,Obligate,5.5
139,CF,Dimona-CF,Dimona,2,Hm,Ao,Obligate,4
140,CF,Dimona-CF,Dimona,2,Hm,Ao,Obligate,3
141,CF,Dimona-CF,Dimona,2,Hm,Ao,Obligate,3
142,CF,Dimona-CF,Dimona,2,Hm,Ao,Obligate,4.5
143,CF,Dimona-CF,Dimona,2,Hm,Ao,Obligate,6.5
144,CF,Dimona-CF,Dimona,2,Hm,Ao,Obligate,5
145,CF,Dimona-CF,Dimona,2,Hm,Ao,Obligate,5
146,CF,Dimona-CF,Dimona,2,Hm,Ao,Obligate,<1
147,CF,Dimona-CF,Dimona,2,Hm,Ao,Obligate,6
148,CF,Dimona-CF,Dimona,2,Hm,Ao,Obligate,2.5
149,CF,Dimona-CF,Dimona,2,Hm,Ao,Obligate,3.5
150,CF,Dimona-CF,Dimona,2,Hm,Ao,Obligate,3
151,CF,Dimona-CF,Dimona,2,Hm,Ao,Obligate,4.5
152,CF,Dimona-CF,Dimona,2,Hm,Ao,Obligate,<1
153,CF,Dimona-CF,Dimona,2,Hm,Ao,Obligate,5.5
154,CF,Dimona-CF,Dimona,2,Hm,Ao,Obligate,5
155,CF,Dimona-CF,Dimona,2,Hm,Ao,Obligate,3.5
156,CF,Dimona-CF,Dimona,2,Hm,Ao,Obligate,5
157,CF,Dimona-CF,Dimona,2,Hm,Ao,Obligate,2.5
158,CF,Dimona-CF,Dimona,2,Hm,Ao,Obligate,2
159,CF,Dimona-CF,Dimona,2,Hm,Ao,Obligate,5.5
160,CF,Dimona-CF,Dimona,2,Hm,Ao,Obligate,<1
161,CF,Dimona-CF,Dimona,2,Hm,Ao,Obligate,4.5
162,CF,Dimona-CF,Dimona,2,Hm,Ao,Obligate,1.3
163,CF,Dimona-CF,Dimona,2,Hm,Ao,Obligate,7
164,CF,Dimona-CF,Dimona,2,Hm,Ao,Obligate,5
165,CF,Dimona-CF,Dimona,2,Hm,Ao,Obligate,3
166,CF,Dimona-CF,Dimona,2,Hm,Ao,Obligate,<1
167,CF,Dimona-CF,Dimona,2,Hm,Ao,Obligate,4.5
168,CF,Dimona-CF,Dimona,2,Hm,Ao,Obligate,5.5
169,CF,Dimona-CF,Dimona,2,Hm,Ao,Obligate,3.5
170,CF,Dimona-CF,Dimona,2,Hm,Ao,Obligate,5
171,CF,Dimona-CF,Dimona,2,Hm,Ao,Obligate,4.5
172,CF,Dimona-CF,Dimona,2,Hm,Ao,Obligate,2.5
173,CF,Dimona-CF,Dimona,2,Hm,Ao,Obligate,4
174,CF,Dimona-CF,Dimona,2,Hm,Ao,Obligate,2.5
175,CF,Dimona-CF,Dimona,2,Hm,Ao,Obligate,1.7
176,CF,Dimona-CF,Dimona,2,Hm,Ao,Obligate,<1
177,CF,Dimona-CF,Dimona,2,Hm,Ao,Obligate,4.5
178,CF,Dimona-CF,Dimona,2,Hm,Ao,Obligate,<1
179,CF,Dimona-CF,Dimona,2,Hm,Ao,Obligate,3
180,CF,Dimona-CF,Dimona,2,Hm,Ao,Obligate,4.5
181,CF,Dimona-CF,Dimona,2,Hm,Ao,Obligate,3
182,CF,Dimona-CF,Dimona,2,Hm,Ao,Obligate,3.3
183,CF,Dimona-CF,Dimona,2,Hm,Ao,Obligate,2.5
184,CF,Dimona-CF,Dimona,2,Hm,Ao,Obligate,1.5
185,CF,Dimona-CF,Dimona,2,Hm,Ao,Obligate,<1
186,CF,Dimona-CF,Dimona,2,Hm,Ao,Obligate,3
187,CF,Dimona-CF,Dimona,2,Hm,Ao,Obligate,<1
188,CF,Dimona-CF,Dimona,2,Hm,Ao,Obligate,<1
189,CF,Dimona-CF,Dimona,2,Hm,Ao,Obligate,<1
190,CF,Dimona-CF,Dimona,2,Hm,Ao,Obligate,5
191,CF,Dimona-CF,Dimona,2,Hm,Ao,Obligate,3
192,CF,Dimona-CF,Dimona,2,Hm,Ao,Obligate,<1
193,CF,Dimona-CF,Dimona,2,Hm,Ao,Obligate,1
194,CF,Dimona-CF,Dimona,2,Hm,Ao,Obligate,<1
195,CF,Dimona-CF,Dimona,2,Hm,Ao,Obligate,1.5
196,CF,Dimona-CF,Dimona,2,Hm,Ao,Obligate,4.5
197,CF,Dimona-CF,Dimona,2,Hm,Ao,Obligate,1.7
198,CF,Dimona-CF,Dimona,2,Hm,Ao,Obligate,2.5
199,CF,Dimona-CF,Dimona,2,Hm,Ao,Obligate,5
200,CF,Dimona-CF,Dimona,2,Hm,Ao,Obligate,4.5
201,CF,Dimona-CF,Dimona,2,Hm,Ao,Obligate,6.5
202,CF,Dimona-CF,Dimona,2,Hm,Ao,Obligate,<1
203,CF,Dimona-CF,Dimona,2,Hm,Ao,Obligate,<1
204,CF,Dimona-CF,Dimona,2,Hm,Ao,Obligate,2.5
205,CF,Dimona-CF,Dimona,2,Hm,Ao,Obligate,2.5
206,CF,Dimona-CF,Dimona,2,Hm,Ao,Obligate,5
207,CF,Dimona-CF,Dimona,2,Hm,Ao,Obligate,1
