CO2,Light,Treatment,Tank,Colony,Number,total blastate ml,surface area cm2,change in weight g,AFDW g/ml,cells/ml,ug chl a/ml,ug chl c2/ml,mg protein/ml,mg carb/ml,mg lipid/ml,g lipid/gdw
HCO2,HL,HL-HC,10,L,66,9,6.8047,0.0364,0.0101,,1.462,0.4991,0.239,0.1903,1.7667,0.3354
HCO2,HL,HL-HC,10,M,10,14,17.0936,0.1509,0.0112,1025000,3.2364,0.9797,0.724,0.1663,0.4333,0.1313
HCO2,HL,HL-HC,10,N,80,11.5,6.7692,0.0335,0.0091,211667,0.7376,0.2318,0.217,0.114,0.9333,0.2333
HCO2,HL,HL-HC,10,P,52,17,14.4327,0.0936,0.0105,,2.5495,0.8035,0.507,0.1886,0.7,0.1736
HCO2,HL,HL-HC,11,G,99,19,9.9978,0.0756,0.0137,303333,2.0234,0.4642,0.318,0.1326,,
HCO2,HL,HL-HC,11,H,21,8.5,4.0019,0.0564,0.0121,304167,1.2241,0.326,0.235,0.1215,,
HCO2,HL,HL-HC,11,K,53,19,12.3394,0.0755,0.0115,,2.0712,0.5253,0.336,0.1532,,
HCO2,HL,HL-HC,11,L,77,21.5,13.865,0.0724,0.0144,,2.0061,0.4384,0.285,0.1459,1.1,0.2519
HCO2,HL,HL-HC,11,M,57,17,7.1595,0.03,0.0123,437500,2.3942,0.5347,0.348,0.1444,2.1667,0.4333
HCO2,HL,HL-HC,11,N,55,18,6.6983,0.1298,0.0109,248333,1.1419,0.2826,0.259,0.1064,1.4,0.3593
HCO2,HL,HL-HC,11,P,40,18,9.0754,0.1106,0.0112,,1.5586,0.4124,0.341,0.1216,1.5,0.3947
HCO2,HL,HL-HC,12,G,73,12,5.3146,0.0187,0.0082,264167,1.3108,0.2962,0.304,0.1104,,
HCO2,HL,HL-HC,12,H,8,16,6.8757,0.0408,0.009,417500,1.2557,0.3473,0.333,0.0657,,
HCO2,HL,HL-HC,12,K,37,14,5.1727,0.0347,0.0077,,0.8461,0.3183,0.169,0.0682,,
HCO2,HL,HL-HC,12,L,53,12.5,4.4631,0.0302,0.0075,,0.8253,0.3182,0.159,0.083,0.6333,0.2235
HCO2,HL,HL-HC,12,M,37,18,11.6653,0.0463,0.0099,640833,2.3132,0.5649,0.379,0.1811,1.6667,0.3597
HCO2,HL,HL-HC,12,N,36,30,12.5878,0.129,0.0087,388333,1.3747,0.4753,0.279,0.0961,2.2333,0.5115
HCO2,HL,HL-HC,12,P,54,38,20.0029,0.0989,0.0087,,1.7884,0.5702,0.266,0.1066,3.5667,0.5194
ACO2,HL,HL-AC,13,G,20,14,8.5077,0.0539,0.0093,733333,2.5527,0.7084,0.403,0.202,,
ACO2,HL,HL-AC,13,H,15,16.5,5.7758,0.0831,0.0086,586667,1.804,0.5093,0.375,0.0981,,
ACO2,HL,HL-AC,13,K,38,22,13.9715,0.0853,0.0088,,2.2731,0.5799,0.369,0.1357,,
ACO2,HL,HL-AC,13,L,11,16.5,9.5011,0.0401,0.0074,,1.7597,0.4628,0.31,0.1174,1.1917,0.3349
ACO2,HL,HL-AC,13,M,75,22,12.0911,0.0794,0.0099,545833,2.2968,0.6194,0.333,0.1812,1.0792,0.3112
ACO2,HL,HL-AC,13,N,37,33.5,14.752,0.1058,0.0095,408333,1.7986,0.5759,0.23,0.1024,1.3333,0.3333
ACO2,HL,HL-AC,13,P,36,13.5,4.7469,0.0444,0.0081,,0.7777,0.2952,0.261,0.0834,0.9667,0.2437
ACO2,HL,HL-AC,14,G,58,15.5,5.0662,0.0275,0.0079,281667,1.2957,0.3749,0.247,0.091,,
ACO2,HL,HL-AC,14,H,47,16.5,8.1884,0.0479,0.0087,494167,1.7095,0.4295,0.387,0.145,,
ACO2,HL,HL-AC,14,K,2,28.5,12.6233,0.0659,0.0088,,1.435,0.4024,0.309,0.1024,,
ACO2,HL,HL-AC,14,L,51,26.5,10.3171,0.0664,0.0088,,1.2259,0.4106,0.335,0.103,2.2,0.5593
ACO2,HL,HL-AC,14,M,15,23.5,9.8559,0.014,0.0094,498333,1.5963,0.5752,0.182,0.1082,2.1,0.4565
ACO2,HL,HL-AC,14,N,81,27,11.8782,0.0606,0.0091,396667,1.3807,0.3816,0.291,0.117,1.3,0.2971
ACO2,HL,HL-AC,14,P,24,23.5,16.3486,0.061,0.0098,,1.9732,0.469,0.492,0.1375,2.2667,0.4722
ACO2,HL,HL-AC,15,G,41,16,14.3617,0.144,0.0104,898333,2.776,0.5434,0.668,0.1634,,
ACO2,HL,HL-AC,15,H,69,9,4.9598,0.0382,0.0099,586667,1.5255,0.6134,0.379,0.0983,,
ACO2,HL,HL-AC,15,K,84,13,8.2913,0.0583,0.0099,,1.4782,0.4537,0.404,0.0896,,
ACO2,HL,HL-AC,15,L,9,13.5,8.011,0.0848,0.0105,,1.8987,0.3425,0.526,0.1235,1.4333,0.3981
ACO2,HL,HL-AC,15,M,82,20,12.5168,0.0914,0.0103,664167,2.0918,0.4134,0.437,0.0691,1.85,0.4352
ACO2,HL,HL-AC,15,N,60,26,10.3526,0.0434,0.0084,587500,1.2192,0.3723,0.205,0.0546,2.3333,0.4895
ACO2,HL,HL-AC,15,P,66,27.5,16.7743,0.1573,0.0069,,1.908,0.4269,0.425,0.1198,1.5333,0.3898
HCO2,HL,HL-HC,17,G,62,16.5,11.5234,0.0681,0.0098,943333,2.1122,0.51,0.561,0.1495,,
HCO2,HL,HL-HC,17,H,23,11.5,4.7824,0.0448,0.0099,750833,1.8572,0.6201,0.406,0.1042,,
HCO2,HL,HL-HC,17,K,70,10.5,7.5498,0.0601,0.0091,,1.6394,0.5145,0.337,0.0905,,
HCO2,HL,HL-HC,17,L,63,10.5,6.8402,0.0569,0.0091,560833,2.2605,0.5122,0.647,0.1664,1.5333,0.3538
HCO2,HL,HL-HC,17,M,78,33,17.0936,0.1826,0.0105,909167,2.6341,0.7072,0.47,0.1341,2.5333,0.5033
HCO2,HL,HL-HC,17,N,18,17,9.9269,0.0365,0.0091,,2.1241,0.6451,0.366,0.1184,1.0667,0.1531
HCO2,HL,HL-HC,17,P,30,15.5,10.8493,0.0833,0.0099,,2.5293,0.8211,0.448,0.1371,0.8583,0.2556
ACO2,LL,LL-AC,19,G,52,14,8.5787,0.0684,0.0102,781667,2.4734,0.5454,0.394,0.1135,,
ACO2,LL,LL-AC,19,H,50,13.5,5.8468,0.041,0.009,803333,2.4462,0.7758,0.364,0.0826,,
ACO2,LL,LL-AC,19,K,39,22,6.6983,0.0319,0.0084,,0.9255,0.2819,0.177,0.044,,
ACO2,LL,LL-AC,19,L,21,14.5,7.5143,0.0274,0.0098,,2.2737,0.434,0.423,0.0223,1.6333,0.4016
ACO2,LL,LL-AC,19,M,59,19.5,10.2817,0.0626,0.0098,952500,3.6117,1.0599,0.468,0.1135,1.1333,0.2906
ACO2,LL,LL-AC,19,N,14,18,8.7915,0.0552,0.0087,517500,2.1853,0.4935,0.317,0.0716,1.1667,0.3398
ACO2,LL,LL-AC,19,P,9,15,8.7561,0.0555,0.0098,,2.2259,0.6195,0.515,0.0927,0.9333,0.2667
ACO2,LL,LL-AC,20,G,22,17,7.0531,0.0551,0.012,605833,2.0856,0.5139,0.209,0.1064,,
ACO2,LL,LL-AC,20,H,70,16.5,8.3658,0.029,0.0113,627500,2.1661,0.7864,0.418,0.1079,,
ACO2,LL,LL-AC,20,K,21,23.5,10.6365,0.0831,0.013,,1.7002,0.5019,0.28,0.0776,,
ACO2,LL,LL-AC,20,L,12,19,7.5853,0.0418,0.0143,,2.0138,0.5121,0.268,0.1245,1.5667,0.3672
ACO2,LL,LL-AC,20,M,87,20.5,8.2948,0.0316,0.0113,555000,1.8868,0.5659,0.336,0.1412,1.8,0.406
ACO2,LL,LL-AC,20,N,40,19.5,6.6983,0.0623,0.008,536667,1.7483,0.5449,0.258,0.0758,0.3667,0.1467
ACO2,LL,LL-AC,20,P,23,34,9.4656,0.1029,0.0122,,1.6069,0.5293,0.35,0.0813,2.4333,0.471
ACO2,LL,LL-AC,21,G,33,14.5,5.3856,0.0317,0.0087,462500,1.5201,0.4023,0.31,0.072,,
ACO2,LL,LL-AC,21,K,10,26.5,11.4879,0.0375,0.0086,,2.7247,0.4467,0.311,0.0864,,
ACO2,LL,LL-AC,21,L,26,20.5,10.4591,0.0913,0.0088,474167,2.8536,0.6196,0.365,0.1078,2.6333,0.5338
